[2025-03-30_06:48:27] Total Functions: 2325, Hited Functions: 168 [ 7.225806% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_06:49:28] Total Functions: 2325, Hited Functions: 326 [ 14.021505% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_06:50:29] Total Functions: 2325, Hited Functions: 326 [ 14.021505% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_06:51:30] Total Functions: 2325, Hited Functions: 326 [ 14.021505% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_06:52:31] Total Functions: 2325, Hited Functions: 334 [ 14.365591% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_06:53:32] Total Functions: 2325, Hited Functions: 336 [ 14.451613% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_06:54:33] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_06:55:34] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_06:56:35] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_06:57:36] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_06:58:37] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_06:59:38] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:00:39] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:01:40] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:02:41] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:03:42] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:04:43] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:05:44] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:06:45] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:07:46] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:08:47] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:09:48] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:10:49] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:11:50] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:12:51] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:13:52] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:14:53] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:15:54] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:16:55] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:17:56] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:18:57] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:19:58] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:20:59] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:22:00] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:23:01] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:24:02] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:25:03] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:26:04] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:27:05] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:28:06] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:29:07] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:30:08] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:31:09] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:32:10] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:33:11] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:34:12] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:35:13] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:36:14] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:37:15] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:38:16] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:39:17] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:40:18] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:41:19] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:42:20] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:43:21] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:44:22] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:45:23] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:46:24] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:47:25] Total Functions: 2325, Hited Functions: 347 [ 14.924731% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:48:26] Total Functions: 2325, Hited Functions: 347 [ 14.924731% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:49:27] Total Functions: 2325, Hited Functions: 347 [ 14.924731% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:50:28] Total Functions: 2325, Hited Functions: 347 [ 14.924731% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:51:29] Total Functions: 2325, Hited Functions: 347 [ 14.924731% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:52:30] Total Functions: 2325, Hited Functions: 348 [ 14.967742% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:53:31] Total Functions: 2325, Hited Functions: 348 [ 14.967742% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:54:32] Total Functions: 2325, Hited Functions: 348 [ 14.967742% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:55:33] Total Functions: 2325, Hited Functions: 348 [ 14.967742% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:56:34] Total Functions: 2325, Hited Functions: 348 [ 14.967742% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:57:35] Total Functions: 2325, Hited Functions: 348 [ 14.967742% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:58:36] Total Functions: 2325, Hited Functions: 348 [ 14.967742% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_07:59:37] Total Functions: 2325, Hited Functions: 348 [ 14.967742% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_08:00:38] Total Functions: 2325, Hited Functions: 348 [ 14.967742% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_08:01:39] Total Functions: 2325, Hited Functions: 348 [ 14.967742% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_08:02:40] Total Functions: 2325, Hited Functions: 348 [ 14.967742% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_08:03:41] Total Functions: 2325, Hited Functions: 348 [ 14.967742% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_08:04:42] Total Functions: 2325, Hited Functions: 348 [ 14.967742% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_08:05:43] Total Functions: 2325, Hited Functions: 348 [ 14.967742% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_08:06:44] Total Functions: 2325, Hited Functions: 348 [ 14.967742% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_08:07:45] Total Functions: 2325, Hited Functions: 348 [ 14.967742% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_08:08:46] Total Functions: 2325, Hited Functions: 349 [ 15.010753% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_08:09:47] Total Functions: 2325, Hited Functions: 349 [ 15.010753% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_08:10:48] Total Functions: 2325, Hited Functions: 349 [ 15.010753% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_08:11:49] Total Functions: 2325, Hited Functions: 349 [ 15.010753% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_08:12:50] Total Functions: 2325, Hited Functions: 349 [ 15.010753% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_08:13:51] Total Functions: 2325, Hited Functions: 349 [ 15.010753% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_08:14:52] Total Functions: 2325, Hited Functions: 349 [ 15.010753% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_08:15:53] Total Functions: 2325, Hited Functions: 349 [ 15.010753% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_08:16:54] Total Functions: 2325, Hited Functions: 349 [ 15.010753% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_08:17:55] Total Functions: 2325, Hited Functions: 349 [ 15.010753% ], Hited Edges: 0, Total Edges: 14796
