node:6,edge:6,path:3,min-pl:3,max-pl:4,mean-pl:3,stddev-pl:0.816497,node-cov:100%
node:20,edge:29,path:14,min-pl:2,max-pl:4,mean-pl:3,stddev-pl:1988183524.788373,node-cov:100%
node:3,edge:2,path:2,min-pl:2,max-pl:2,mean-pl:2,stddev-pl:0.000000,node-cov:100%
node:13,edge:15,path:9,min-pl:2,max-pl:6,mean-pl:3,stddev-pl:2479700523.928889,node-cov:100%
node:34,edge:43,path:0,min-pl:0,max-pl:0,mean-pl:0,stddev-pl:0.000000,node-cov:0%
node:30,edge:35,path:22,min-pl:2,max-pl:4,mean-pl:3,stddev-pl:2422688293.234279,node-cov:100%
node:22,edge:22,path:14,min-pl:2,max-pl:5,mean-pl:2,stddev-pl:1.253566,node-cov:100%
node:47,edge:66,path:33,min-pl:2,max-pl:5,mean-pl:3,stddev-pl:2242973517.359952,node-cov:100%
node:34,edge:43,path:0,min-pl:0,max-pl:0,mean-pl:0,stddev-pl:0.000000,node-cov:0%
node:30,edge:35,path:22,min-pl:2,max-pl:4,mean-pl:3,stddev-pl:2422688293.234279,node-cov:100%
node:20,edge:29,path:14,min-pl:2,max-pl:4,mean-pl:3,stddev-pl:1988183524.788373,node-cov:100%
node:22,edge:22,path:14,min-pl:2,max-pl:5,mean-pl:2,stddev-pl:1.253566,node-cov:100%
node:13,edge:15,path:9,min-pl:2,max-pl:6,mean-pl:3,stddev-pl:2479700523.928889,node-cov:100%
node:10,edge:9,path:8,min-pl:3,max-pl:3,mean-pl:3,stddev-pl:0.000000,node-cov:100%
node:9,edge:11,path:6,min-pl:2,max-pl:5,mean-pl:3,stddev-pl:1753413055.781952,node-cov:100%
node:9,edge:11,path:6,min-pl:3,max-pl:4,mean-pl:3,stddev-pl:0.707107,node-cov:100%
node:8,edge:7,path:6,min-pl:2,max-pl:3,mean-pl:2,stddev-pl:0.408248,node-cov:100%
node:8,edge:8,path:5,min-pl:3,max-pl:4,mean-pl:3,stddev-pl:0.447214,node-cov:100%
node:9,edge:8,path:6,min-pl:2,max-pl:4,mean-pl:2,stddev-pl:1.224745,node-cov:100%
node:4,edge:3,path:3,min-pl:2,max-pl:2,mean-pl:2,stddev-pl:0.000000,node-cov:100%
node:4,edge:4,path:2,min-pl:3,max-pl:3,mean-pl:3,stddev-pl:0.000000,node-cov:100%
node:3,edge:2,path:2,min-pl:2,max-pl:2,mean-pl:2,stddev-pl:0.000000,node-cov:100%
node:3,edge:3,path:1,min-pl:3,max-pl:3,mean-pl:3,stddev-pl:0.000000,node-cov:100%
node:3,edge:2,path:2,min-pl:2,max-pl:2,mean-pl:2,stddev-pl:0.000000,node-cov:100%
node:6,edge:6,path:3,min-pl:3,max-pl:4,mean-pl:3,stddev-pl:0.816497,node-cov:100%
node:3,edge:2,path:2,min-pl:2,max-pl:2,mean-pl:2,stddev-pl:0.000000,node-cov:100%
node:8,edge:9,path:0,min-pl:0,max-pl:0,mean-pl:0,stddev-pl:0.000000,node-cov:0%
node:47,edge:66,path:33,min-pl:2,max-pl:5,mean-pl:3,stddev-pl:2242973517.359952,node-cov:100%
node:34,edge:43,path:0,min-pl:0,max-pl:0,mean-pl:0,stddev-pl:0.000000,node-cov:0%
node:30,edge:35,path:22,min-pl:2,max-pl:4,mean-pl:3,stddev-pl:2422688293.234279,node-cov:100%
node:20,edge:29,path:14,min-pl:2,max-pl:4,mean-pl:3,stddev-pl:1988183524.788373,node-cov:100%
node:22,edge:22,path:14,min-pl:2,max-pl:5,mean-pl:2,stddev-pl:1.253566,node-cov:100%
