[2025-04-06_00:54:49] Total Functions: 843, Hited Functions: 29 [ 3.440095% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_00:55:50] Total Functions: 844, Hited Functions: 142 [ 16.824645% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_00:56:51] Total Functions: 844, Hited Functions: 157 [ 18.601896% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_00:57:52] Total Functions: 844, Hited Functions: 160 [ 18.957346% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_00:58:53] Total Functions: 844, Hited Functions: 165 [ 19.549763% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_00:59:54] Total Functions: 844, Hited Functions: 169 [ 20.023697% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:00:55] Total Functions: 844, Hited Functions: 169 [ 20.023697% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:01:56] Total Functions: 844, Hited Functions: 171 [ 20.260664% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:02:57] Total Functions: 844, Hited Functions: 173 [ 20.497630% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:03:58] Total Functions: 844, Hited Functions: 173 [ 20.497630% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:04:59] Total Functions: 844, Hited Functions: 173 [ 20.497630% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:06:00] Total Functions: 844, Hited Functions: 175 [ 20.734597% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:07:01] Total Functions: 844, Hited Functions: 186 [ 22.037915% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:08:02] Total Functions: 844, Hited Functions: 193 [ 22.867299% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:09:03] Total Functions: 844, Hited Functions: 194 [ 22.985782% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:10:04] Total Functions: 844, Hited Functions: 194 [ 22.985782% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:11:05] Total Functions: 844, Hited Functions: 196 [ 23.222749% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:12:07] Total Functions: 844, Hited Functions: 198 [ 23.459716% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:13:08] Total Functions: 844, Hited Functions: 199 [ 23.578199% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:14:09] Total Functions: 844, Hited Functions: 204 [ 24.170616% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:15:10] Total Functions: 844, Hited Functions: 205 [ 24.289100% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:16:11] Total Functions: 844, Hited Functions: 205 [ 24.289100% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:17:12] Total Functions: 844, Hited Functions: 207 [ 24.526066% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:18:13] Total Functions: 844, Hited Functions: 207 [ 24.526066% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:19:14] Total Functions: 844, Hited Functions: 207 [ 24.526066% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:20:15] Total Functions: 844, Hited Functions: 208 [ 24.644550% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:21:16] Total Functions: 844, Hited Functions: 208 [ 24.644550% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:22:17] Total Functions: 844, Hited Functions: 208 [ 24.644550% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:23:18] Total Functions: 844, Hited Functions: 208 [ 24.644550% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:24:19] Total Functions: 844, Hited Functions: 208 [ 24.644550% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:25:20] Total Functions: 844, Hited Functions: 208 [ 24.644550% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:26:21] Total Functions: 844, Hited Functions: 208 [ 24.644550% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:27:22] Total Functions: 845, Hited Functions: 211 [ 24.970414% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:28:23] Total Functions: 845, Hited Functions: 211 [ 24.970414% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:29:24] Total Functions: 845, Hited Functions: 212 [ 25.088757% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:30:25] Total Functions: 845, Hited Functions: 212 [ 25.088757% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:31:26] Total Functions: 845, Hited Functions: 212 [ 25.088757% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:32:27] Total Functions: 845, Hited Functions: 212 [ 25.088757% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:33:28] Total Functions: 845, Hited Functions: 212 [ 25.088757% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:34:29] Total Functions: 845, Hited Functions: 215 [ 25.443787% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:35:30] Total Functions: 845, Hited Functions: 215 [ 25.443787% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:36:31] Total Functions: 845, Hited Functions: 215 [ 25.443787% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:37:32] Total Functions: 845, Hited Functions: 216 [ 25.562130% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:38:33] Total Functions: 845, Hited Functions: 216 [ 25.562130% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:39:34] Total Functions: 845, Hited Functions: 216 [ 25.562130% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:40:35] Total Functions: 845, Hited Functions: 216 [ 25.562130% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:41:36] Total Functions: 845, Hited Functions: 216 [ 25.562130% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:42:37] Total Functions: 845, Hited Functions: 216 [ 25.562130% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:43:38] Total Functions: 845, Hited Functions: 216 [ 25.562130% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:44:39] Total Functions: 845, Hited Functions: 216 [ 25.562130% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:45:40] Total Functions: 845, Hited Functions: 216 [ 25.562130% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:46:41] Total Functions: 845, Hited Functions: 216 [ 25.562130% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:47:42] Total Functions: 845, Hited Functions: 218 [ 25.798817% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:48:43] Total Functions: 845, Hited Functions: 218 [ 25.798817% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:49:44] Total Functions: 846, Hited Functions: 222 [ 26.241135% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:50:46] Total Functions: 846, Hited Functions: 222 [ 26.241135% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:51:47] Total Functions: 846, Hited Functions: 222 [ 26.241135% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:52:48] Total Functions: 846, Hited Functions: 223 [ 26.359338% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:53:49] Total Functions: 846, Hited Functions: 223 [ 26.359338% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:54:50] Total Functions: 846, Hited Functions: 223 [ 26.359338% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:55:51] Total Functions: 846, Hited Functions: 223 [ 26.359338% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:56:52] Total Functions: 846, Hited Functions: 223 [ 26.359338% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:57:53] Total Functions: 846, Hited Functions: 228 [ 26.950355% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:58:54] Total Functions: 846, Hited Functions: 228 [ 26.950355% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_01:59:55] Total Functions: 846, Hited Functions: 228 [ 26.950355% ], Hited Edges: 0, Total Edges: 2852
[2025-04-06_02:00:56] Total Functions: 846, Hited Functions: 229 [ 27.068558% ], Hited Edges: 0, Total Edges: 2852
