[2025-03-29_06:47:49] Total Functions: 170, Hited Functions: 10 [ 5.882353% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_06:48:50] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_06:49:51] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_06:50:52] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_06:51:53] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_06:52:54] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_06:53:55] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_06:54:56] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_06:55:57] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_06:56:58] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_06:57:59] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_06:59:00] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:00:01] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:01:02] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:02:03] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:03:04] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:04:05] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:05:06] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:06:07] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:07:08] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:08:09] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:09:10] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:10:11] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:11:12] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:12:13] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:13:14] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:14:15] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:15:16] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:16:17] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:17:18] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:18:19] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:19:20] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:20:21] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:21:22] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:22:23] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:23:24] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:24:25] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:25:26] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:26:27] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:27:28] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:28:29] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:29:30] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:30:31] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:31:32] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:32:33] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:33:34] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:34:35] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:35:36] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:36:37] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:37:38] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:38:39] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:39:40] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:40:41] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:41:42] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:42:43] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:43:44] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:44:45] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:45:46] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:46:47] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:47:48] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:48:49] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:49:50] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:50:51] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:51:52] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:52:53] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:53:54] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:54:55] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:55:56] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:56:57] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:57:58] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_07:58:59] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:00:00] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:01:01] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:02:02] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:03:03] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:04:04] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:05:05] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:06:06] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
