[2025-04-05_00:54:29] Total Functions: 117623, Hited Functions: 481 [ 0.408934% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_00:55:30] Total Functions: 120123, Hited Functions: 8996 [ 7.488990% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_00:56:31] Total Functions: 120124, Hited Functions: 8997 [ 7.489761% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_00:57:32] Total Functions: 120124, Hited Functions: 8997 [ 7.489761% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_00:58:33] Total Functions: 120143, Hited Functions: 9033 [ 7.518540% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_00:59:34] Total Functions: 120143, Hited Functions: 9036 [ 7.521037% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:00:35] Total Functions: 120150, Hited Functions: 9058 [ 7.538910% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:01:36] Total Functions: 120150, Hited Functions: 9058 [ 7.538910% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:02:37] Total Functions: 120150, Hited Functions: 9058 [ 7.538910% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:03:38] Total Functions: 120150, Hited Functions: 9058 [ 7.538910% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:04:39] Total Functions: 120150, Hited Functions: 9058 [ 7.538910% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:05:40] Total Functions: 120150, Hited Functions: 9058 [ 7.538910% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:06:41] Total Functions: 120150, Hited Functions: 9058 [ 7.538910% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:07:42] Total Functions: 120150, Hited Functions: 9058 [ 7.538910% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:08:43] Total Functions: 120150, Hited Functions: 9058 [ 7.538910% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:09:44] Total Functions: 120150, Hited Functions: 9058 [ 7.538910% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:10:45] Total Functions: 120150, Hited Functions: 9058 [ 7.538910% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:11:46] Total Functions: 120150, Hited Functions: 9058 [ 7.538910% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:12:47] Total Functions: 120150, Hited Functions: 9058 [ 7.538910% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:13:48] Total Functions: 120150, Hited Functions: 9058 [ 7.538910% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:14:49] Total Functions: 120150, Hited Functions: 9058 [ 7.538910% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:15:50] Total Functions: 120150, Hited Functions: 9058 [ 7.538910% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:16:51] Total Functions: 120150, Hited Functions: 9058 [ 7.538910% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:17:52] Total Functions: 120150, Hited Functions: 9058 [ 7.538910% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:18:53] Total Functions: 120150, Hited Functions: 9058 [ 7.538910% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:19:54] Total Functions: 120150, Hited Functions: 9058 [ 7.538910% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:20:55] Total Functions: 120150, Hited Functions: 9058 [ 7.538910% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:21:56] Total Functions: 120150, Hited Functions: 9058 [ 7.538910% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:22:57] Total Functions: 120150, Hited Functions: 9058 [ 7.538910% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:23:58] Total Functions: 120150, Hited Functions: 9058 [ 7.538910% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:24:59] Total Functions: 120150, Hited Functions: 9058 [ 7.538910% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:26:00] Total Functions: 120150, Hited Functions: 9058 [ 7.538910% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:27:01] Total Functions: 120150, Hited Functions: 9058 [ 7.538910% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:28:02] Total Functions: 120150, Hited Functions: 9058 [ 7.538910% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:29:03] Total Functions: 120150, Hited Functions: 9058 [ 7.538910% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:30:04] Total Functions: 120150, Hited Functions: 9071 [ 7.549730% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:31:05] Total Functions: 120150, Hited Functions: 9071 [ 7.549730% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:32:06] Total Functions: 120150, Hited Functions: 9071 [ 7.549730% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:33:07] Total Functions: 120150, Hited Functions: 9071 [ 7.549730% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:34:08] Total Functions: 120157, Hited Functions: 9106 [ 7.578418% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:35:09] Total Functions: 120157, Hited Functions: 9106 [ 7.578418% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:36:10] Total Functions: 120157, Hited Functions: 9106 [ 7.578418% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:37:11] Total Functions: 120157, Hited Functions: 9106 [ 7.578418% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:38:12] Total Functions: 120157, Hited Functions: 9114 [ 7.585076% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:39:13] Total Functions: 120157, Hited Functions: 9119 [ 7.589237% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:40:14] Total Functions: 120157, Hited Functions: 9121 [ 7.590902% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:41:15] Total Functions: 120157, Hited Functions: 9122 [ 7.591734% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:42:16] Total Functions: 120157, Hited Functions: 9122 [ 7.591734% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:43:17] Total Functions: 120157, Hited Functions: 9122 [ 7.591734% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:44:18] Total Functions: 120157, Hited Functions: 9122 [ 7.591734% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:45:19] Total Functions: 120157, Hited Functions: 9122 [ 7.591734% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:46:20] Total Functions: 120157, Hited Functions: 9122 [ 7.591734% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:47:21] Total Functions: 120157, Hited Functions: 9122 [ 7.591734% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:48:22] Total Functions: 120157, Hited Functions: 9122 [ 7.591734% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:49:23] Total Functions: 120157, Hited Functions: 9122 [ 7.591734% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:50:24] Total Functions: 120157, Hited Functions: 9122 [ 7.591734% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:51:25] Total Functions: 120157, Hited Functions: 9122 [ 7.591734% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:52:26] Total Functions: 120157, Hited Functions: 9122 [ 7.591734% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:53:27] Total Functions: 120157, Hited Functions: 9122 [ 7.591734% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:54:28] Total Functions: 120157, Hited Functions: 9122 [ 7.591734% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:55:29] Total Functions: 120157, Hited Functions: 9122 [ 7.591734% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:56:30] Total Functions: 120157, Hited Functions: 9122 [ 7.591734% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:57:31] Total Functions: 120157, Hited Functions: 9122 [ 7.591734% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:58:32] Total Functions: 120157, Hited Functions: 9122 [ 7.591734% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_01:59:33] Total Functions: 120157, Hited Functions: 9122 [ 7.591734% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_02:00:34] Total Functions: 120157, Hited Functions: 9122 [ 7.591734% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_02:01:35] Total Functions: 120157, Hited Functions: 9122 [ 7.591734% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_02:02:36] Total Functions: 120157, Hited Functions: 9122 [ 7.591734% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_02:03:37] Total Functions: 120157, Hited Functions: 9122 [ 7.591734% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_02:04:38] Total Functions: 120157, Hited Functions: 9122 [ 7.591734% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_02:05:39] Total Functions: 120157, Hited Functions: 9122 [ 7.591734% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_02:06:40] Total Functions: 120157, Hited Functions: 9122 [ 7.591734% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_02:07:41] Total Functions: 120157, Hited Functions: 9122 [ 7.591734% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_02:08:42] Total Functions: 120157, Hited Functions: 9122 [ 7.591734% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_02:09:43] Total Functions: 120157, Hited Functions: 9122 [ 7.591734% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_02:10:44] Total Functions: 120157, Hited Functions: 9122 [ 7.591734% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_02:11:45] Total Functions: 120157, Hited Functions: 9122 [ 7.591734% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_02:12:46] Total Functions: 120157, Hited Functions: 9122 [ 7.591734% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_02:13:47] Total Functions: 120157, Hited Functions: 9122 [ 7.591734% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_02:14:48] Total Functions: 120157, Hited Functions: 9122 [ 7.591734% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_02:15:49] Total Functions: 120157, Hited Functions: 9122 [ 7.591734% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_02:16:50] Total Functions: 120157, Hited Functions: 9122 [ 7.591734% ], Hited Edges: 0, Total Edges: 362506
[2025-04-05_02:17:51] Total Functions: 120157, Hited Functions: 9122 [ 7.591734% ], Hited Edges: 0, Total Edges: 362506
